Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,min,max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Group Ranking?,Field Annotation
phage_patient_id,screening_log_beta,,text,Phage Patient ID,,,,,,,,,,,,,
sc_date,screening_log_beta,,text,Date of referral,,,date_dmy,,,,,y,,,,,
sc_ptp_initials,screening_log_beta,,text,Patient initials,,Only two letters allowed,,,,,,y,,,,,@CHARLIMIT=2
sc_dob,screening_log_beta,,text,DOB,,,date_dmy,,,y,,y,,,,,
sc_meets_inclusion,screening_log_beta,,yesno,Meets inclusion criteria,,,,,,,,y,,,,,
sc_exclusion_reasons,screening_log_beta,,checkbox,Reason for exclusion,"1, Source control sub-optimal | 2, Polymicrobial infection (>2 key pathogens) | 3, Pathogen driving infectious syndrome not appropriately confirmed | 4, Phage product identified unsuitable | 5, Patient/parent or guardian/responsible person unable or unlikely to adhere to schedule of treatment and monitoring | 6, Patient/parent or guardian/responsible person did not provide informed consent | 0, Other",,,,,,"[sc_meets_inclusion] = ""0""",y,,,,,
sc_exclusion_ph_unsuitable,screening_log_beta,,checkbox,If phage product identified unsuitable:,"1, Phage activity against target pathogen(s) limited/undocumented | 2, Formulation not safe for clinical use | 3, Regulatory approvals not completed",,,,,,"[sc_exclusion_reasons(4)] = ""1""",y,,,,,@CHARLIMIT=100
sc_exclusion_other,screening_log_beta,,notes,Specify other exclusion reasons,,,,,,,"[sc_exclusion_reasons(0)] = ""1""",y,,,,,
dm_no_inclusion_msg,demographics_beta,,descriptive,"<div class=""rich-text-field-label""><h3><span style=""background-color: #e03e2d; color: #ffffff;"">     Patient DOES NOT MEET INCLUSION CRITERIA     </span></h3></div>",,,,,,,[sc_meets_inclusion] < 1,,,,,,
dm_picf_signed_date,demographics_beta,,text,Date PICF signed,,,date_dmy,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
dm_consent_age,demographics_beta,,calc,Age at time of consent,"round(datediff([sc_dob], ""today"", ""y""),2)",,,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
dm_gender,demographics_beta,,radio,Gender,"m, M | f, F",,,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
dm_recruitment_site,demographics_beta,,radio,Recruitment Site,"westmd, Westmead Hospital | schn, Sydney Children's Hospitals Network | alfred, The Alfred Hospital | melb_roy, Royal Melbourne Hospital | adel_ctr, Central Adelaide Local | healthnet, Health Network | brisbane_roy, Royal Brisbane and Women's Hospital | queen_ch, Queensland Children's Hospital | fiona, Fiona Stanley Hospital | murdoch, Murdoch | perth_ch, Perth Children's Hospital",,,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
pre_no_inclusion_msg,pretreatment_beta,,descriptive,"<div class=""rich-text-field-label""><h3><span style=""background-color: #e03e2d; color: #ffffff;"">     Patient DOES NOT MEET INCLUSION CRITERIA     </span></h3></div>",,,,,,,[sc_meets_inclusion] < 1,,,,,,
pre_primary_infect_diag,pretreatment_beta,,radio,Primary infectious diagnosis,"1, Endovascular infection | 2, Lung infection | 3, Musculoskeletal infection | 4, Genitourinary infection | 5, Gastrointestinal infection | 6, Intra-abdominal infection (including hepatobiliary) | 7, CNS infection (includes eyes and ears) | 0, Other, please specify (limit text to 50 characters)",,,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
pre_primary_infect_other,pretreatment_beta,,notes,Other primary infectious diagnosis,"1, Endovascular infection | 2, Lung infection | 3, Musculoskeletal infection | 4, Genitourinary infection | 5, Gastrointestinal infection | 6, Intra-abdominal infection (including hepatobiliary) | 7, CNS infection (includes eyes and ears) | 0, Other, please specify (limit text to 50 characters)",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_primary_infect_diag] = ""0""",y,,,,,@CHARLIMIT='50'
pre_infection_duration,pretreatment_beta,,radio,Duration of infection,"1, Acute (< 2 weeks) | 2, Subacute (2 weeks-2 months) | 3, Chronic (>2 months)",,,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
pre_other_med_surg_diag,pretreatment_beta,,notes,Other medical or surgical diagnoses (please list if directly relevant to infection e.g. CF in patient with lung infection),,,,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
pre_has_immu_suppr,pretreatment_beta,,yesno,Immune suppression,,,,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
pre_immu_suppr_pri,pretreatment_beta,,radio,Primary condition,"1, HIV | 2, Malignancy with or without chemotherapy | 3, SOT | 4, HSCT for malignant or non-malignant condition | 5, Drug or biological agent for autoimmune/inflammatory condition, please specify | 0, Other, please specify (limit text to 50 characters)",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_has_immu_suppr] = ""1""",y,,,,,
pre_immu_suppr_pri_other,pretreatment_beta,,text,Other primary condition,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_immu_suppr_pri] = ""0""",y,,,,,@CHARLIMIT='50'
pre_immu_suppr_acq,pretreatment_beta,,checkbox,Acquired condition(s),"1, HIV | 2, Malignancy with or without chemotherapy | 3, SOT | 4, HSCT for malignant or non-malignant condition | 5, Drug or biological agent for autoimmune/inflammatory condition, please specify | 0, Other, please specify (limit text to 50 characters)",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_has_immu_suppr] = ""1""",y,,,,,
pre_immu_suppr_acq_other,pretreatment_beta,,text,Other acquired conditions,,,,,,,"[sc_meets_inclusion] = ""1"" and [pre_immu_suppr_acq(0)] = ""1""",y,,,,,@CHARLIMIT='50'
pre_has_prosthesis,pretreatment_beta,,yesno,Prosthesis involved,,,,,,,"[sc_meets_inclusion] = ""1""",y,,,,,
